Date, Time, Field, Home, Away
2012-05-17, 6:00 PM, 1, Goodness of Hit, The Dogs of Nashville
2012-05-22, 6:00 PM, 2, Goodness of Hit, Stadler's Last Stand
2012-05-24, 7:00 PM, 1, Goodness of Hit, Misfits
2012-05-31, 7:00 PM, 2, Goodness of Hit, Ionizers
2012-06-05, 8:00 PM, 3, VCH Suits, Goodness of Hit
2012-06-07, 7:00 PM, 1, Sutures, Goodness of Hit
2012-06-14, 6:00 PM, 2, Scared Hitless, Goodness of Hit
2012-06-19, 6:00 PM, 1, McGugin Mayhem, Goodness of Hit
2012-06-28, 6:00 PM, 1, The Dogs of Nashville, Goodness of Hit
2012-07-10, 6:00 PM, 2, Stadler's Last Stand, Goodness of Hit
2012-07-12, 7:00 PM, 1, Misfits, Goodness of Hit
2012-07-19, 7:00 PM, 2, Ionizers, Goodness of Hit
