       season, game, batters, inn, PA, AB,  R,  H, X2B, X3B, HR, RBI, BB, SO, SF, GDP,    BA,   OBP,   SLG,   OPS,    SA,     RC,     XR
01-2009summer,    1,      10,   0,  0,  0,  0,  0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
01-2009summer,    2,      14,   0,  0,  0,  0,  0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
01-2009summer,    3,      12,   0,  0,  0,  0,  0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
01-2009summer,   11,      14,   0,  0,  0,  0,  0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
01-2009summer,   13,      13,   0,  0,  0,  0,  0,   0,   0,  0,   0,  0,  0,  0,   0, 0.000, 0.000, 0.000, 0.000, 0.000,  0.000,  0.000
03-2010summer,    1,      10,   5,  6,  4,  0,  1,   0,   0,  0,   0,  2,  0,  0,   0, 0.250, 0.500, 0.250, 0.750, 0.500,  0.949,  0.910
03-2010summer,    2,      13,   5,  5,  3,  2,  2,   0,   0,  0,   1,  2,  0,  0,   0, 0.667, 0.800, 0.667, 1.467, 0.667,  1.840,  1.590
03-2010summer,    3,      13,   5, 11, 11,  4,  6,   3,   0,  0,   4,  0,  1,  0,   0, 0.545, 0.545, 0.818, 1.364, 0.273,  3.651,  3.202
03-2010summer,    4,      16,   5, 20, 20,  0,  5,   0,   0,  0,   0,  0,  0,  0,   0, 0.250, 0.250, 0.250, 0.500, 0.000,  1.323,  1.150
03-2010summer,    5,      11,   5, 22, 22,  2,  7,   0,   0,  0,   2,  0,  1,  0,   0, 0.318, 0.318, 0.318, 0.636, 0.000,  2.500,  2.142
03-2010summer,    8,      10,   5, 25, 23,  3, 10,   0,   1,  0,   3,  2,  2,  0,   1, 0.435, 0.480, 0.522, 1.002, 0.174,  5.472,  4.664
03-2010summer,    9,      12,   5, 28, 27,  5, 13,   2,   0,  1,   5,  1,  0,  0,   0, 0.481, 0.500, 0.667, 1.167, 0.222,  7.876,  6.960
03-2010summer,   11,      13,   5, 23, 23,  3,  8,   1,   0,  1,   3,  0,  3,  0,   0, 0.348, 0.348, 0.522, 0.870, 0.174,  4.046,  3.786
